EN_Name,FR_Name,ZH_Name,EN_URL,FR_URL,ZH_URL,Category
Nuclear weapon,Arme nucléaire,核武器,https://en.wikipedia.org/wiki/Nuclear_weapon,https://fr.wikipedia.org/wiki/Arme_nucl%C3%A9aire,https://zh.wikipedia.org/wiki/%E6%A0%B8%E6%AD%A6%E5%99%A8, Technology
Space station,Station spatiale,空间站,https://en.wikipedia.org/wiki/Space_station,https://fr.wikipedia.org/wiki/Station_spatiale,https://zh.wikipedia.org/wiki/%E7%A9%BA%E9%97%B4%E7%AB%99, Technology
Camera,Caméra,照相機,https://en.wikipedia.org/wiki/Camera,https://fr.wikipedia.org/wiki/Cam%C3%A9ra,https://zh.wikipedia.org/wiki/%E7%85%A7%E7%9B%B8%E6%A9%9F, Technology
Printing,Imprimerie,印刷,https://en.wikipedia.org/wiki/Printing,https://fr.wikipedia.org/wiki/Imprimerie,https://zh.wikipedia.org/wiki/%E5%8D%B0%E5%88%B7, Technology
Clock,Horloge,時鐘,https://en.wikipedia.org/wiki/Clock,https://fr.wikipedia.org/wiki/Horloge,https://zh.wikipedia.org/wiki/%E6%99%82%E9%90%98, Technology
Mechanical engineering,Génie mécanique,机械工程,https://en.wikipedia.org/wiki/Mechanical_engineering,https://fr.wikipedia.org/wiki/G%C3%A9nie_m%C3%A9canique,https://zh.wikipedia.org/wiki/%E6%9C%BA%E6%A2%B0%E5%B7%A5%E7%A8%8B, Technology
Road,Route,道路,https://en.wikipedia.org/wiki/Road,https://fr.wikipedia.org/wiki/Route,https://zh.wikipedia.org/wiki/%E9%81%93%E8%B7%AF, Technology
Electric battery,Pile électrique,电池,https://en.wikipedia.org/wiki/Electric_battery,https://fr.wikipedia.org/wiki/Pile_%C3%A9lectrique,https://zh.wikipedia.org/wiki/%E7%94%B5%E6%B1%A0, Technology
Artificial intelligence,Intelligence artificielle,人工智能,https://en.wikipedia.org/wiki/Artificial_intelligence,https://fr.wikipedia.org/wiki/Intelligence_artificielle,https://zh.wikipedia.org/wiki/%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD, Technology
Bicycle,Bicyclette,自行車,https://en.wikipedia.org/wiki/Bicycle,https://fr.wikipedia.org/wiki/Bicyclette,https://zh.wikipedia.org/wiki/%E8%87%AA%E8%A1%8C%E8%BB%8A, Technology
Rail transport,Chemin de fer,鐵路運輸,https://en.wikipedia.org/wiki/Rail_transport,https://fr.wikipedia.org/wiki/Transport_ferroviaire,https://zh.wikipedia.org/wiki/%E9%90%B5%E8%B7%AF%E9%81%8B%E8%BC%B8, Technology
Simple machine,Machine simple,简单机械,https://en.wikipedia.org/wiki/Simple_machine,https://fr.wikipedia.org/wiki/Machine_simple,https://zh.wikipedia.org/wiki/%E7%AE%80%E5%8D%95%E6%9C%BA%E6%A2%B0, Technology
Internet,Internet,互联网,https://en.wikipedia.org/wiki/Internet,https://fr.wikipedia.org/wiki/Internet,https://zh.wikipedia.org/wiki/%E4%BA%92%E8%81%94%E7%BD%91, Technology
Integrated circuit,Circuit intégré,集成电路,https://en.wikipedia.org/wiki/Integrated_circuit,https://fr.wikipedia.org/wiki/Circuit_int%C3%A9gr%C3%A9,https://zh.wikipedia.org/wiki/%E9%9B%86%E6%88%90%E7%94%B5%E8%B7%AF, Technology
Steam engine,Machine à vapeur,蒸汽机,https://en.wikipedia.org/wiki/Steam_engine,https://fr.wikipedia.org/wiki/Machine_%C3%A0_vapeur,https://zh.wikipedia.org/wiki/%E8%92%B8%E6%B1%BD%E6%9C%BA, Technology
Biotechnology,Biotechnologie,生物技术,https://en.wikipedia.org/wiki/Biotechnology,https://fr.wikipedia.org/wiki/Biotechnologie,https://zh.wikipedia.org/wiki/%E7%94%9F%E7%89%A9%E6%8A%80%E6%9C%AF, Technology
Engine,Moteur,发动机,https://en.wikipedia.org/wiki/Engine,https://fr.wikipedia.org/wiki/Moteur,https://zh.wikipedia.org/wiki/%E5%8F%91%E5%8A%A8%E6%9C%BA, Technology
Fortification,Fortification,防御工事,https://en.wikipedia.org/wiki/Fortification,https://fr.wikipedia.org/wiki/Fortification,https://zh.wikipedia.org/wiki/%E9%98%B2%E5%BE%A1%E5%B7%A5%E4%BA%8B, Technology
Nuclear power,Énergie nucléaire,核動力,https://en.wikipedia.org/wiki/Nuclear_power,https://fr.wikipedia.org/wiki/%C3%89nergie_nucl%C3%A9aire,https://zh.wikipedia.org/wiki/%E6%A0%B8%E5%8B%95%E5%8A%9B, Technology
Petroleum,Pétrole,石油,https://en.wikipedia.org/wiki/Petroleum,https://fr.wikipedia.org/wiki/P%C3%A9trole,https://zh.wikipedia.org/wiki/%E7%9F%B3%E6%B2%B9, Technology
Bow and arrow,Arc (arme),NA,https://en.wikipedia.org/wiki/Bow_and_arrow,https://fr.wikipedia.org/wiki/Arc_et_fl%C3%A8che,NA, Technology
Infrastructure,Infrastructure,基础设施,https://en.wikipedia.org/wiki/Infrastructure,https://fr.wikipedia.org/wiki/Infrastructure,https://zh.wikipedia.org/wiki/%E5%9F%BA%E7%A1%80%E8%AE%BE%E6%96%BD, Technology
Stove,Poêle (chauffage),灶,https://en.wikipedia.org/wiki/Stove,https://fr.wikipedia.org/wiki/Po%C3%AAle_(chauffage),https://zh.wikipedia.org/wiki/%E7%81%B6, Technology
